"reg_code"	"name"	"age"	"1925"	"1930"	"1935"	"1940"	"1945"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"	"2015"
659	"British Columbia"	"45-49"	25.97534	32.85864	33.79151	28.19972	27.87506	33.60026	40.85041	49.50028	52.17026	60.85119	69.947	73.467	78.316	99.24	138.569	157.038	169.427	178.859	160.438
659	"British Columbia"	"50-54"	19.50849	26.21699	32.60849	32.2915	28.45808	31.24165	35.05863	41.94192	49.44532	54.05813	65.782	69.974	74.292	80.074	103.462	139.813	155.391	172.717	176.181
659	"British Columbia"	"55-59"	14.46684	18.92521	25.1337	30.09178	31.20821	30.20793	29.55013	34.54192	40.12839	49.73647	54.813	65.148	71.206	76.323	83.848	103.743	138.02	155.643	170.596
659	"British Columbia"	"60-64"	11.35014	14.35014	17.2085	23.41698	27.97506	30.9082	27.19151	27.83343	32.72485	39.48288	51.494	53.774	65.078	71.99	78.887	82.996	103.416	137.871	152.793
659	"British Columbia"	"65-69"	6.99178	9.49179	13.00849	16.05013	21.16684	28.04191	29.24164	26.23315	26.18288	31.3906	40.306	49.115	52.045	64.76	70.355	75.791	80.363	100.116	133.74
659	"British Columbia"	"70-74"	3.97508	6.13342	7.87506	10.55014	13.29178	19.50027	24.74192	25.68329	22.67887	22.55535	29.757	35.357	43.58	47.632	58.194	64.017	69.557	75.087	94.748
659	"British Columbia"	"75-79"	2.11671	3.11671	4.47506	5.93342	7.65836	10.97507	14.5085	18.70849	18.91366	17.2086	17.822	23.183	27.894	35.616	38.649	48.374	53.973	59.796	67.174
659	"British Columbia"	"80-84"	0.9098	1.2973	1.94373	2.81913	3.79914	5.03661	6.96057	9.442	12.442	12.755	11.438	11.708	15.51	19.444	24.919	27.712	36.132	40.918	48.187
659	"British Columbia"	"85-89"	0.2846	0.4017	0.57782	0.8715	1.19786	1.71171	2.32261	3.36257	4.569	6.2	6.442	6.047	6.267	8.613	10.575	13.676	16.636	22.173	27.272
659	"British Columbia"	"90-94"	0.07448	0.08332	0.14006	0.18821	0.25459	0.35984	0.55071	0.78461	1.13857	1.55	3.014	3.311	3.101	3.343	4.094	4.956	5.1	7.132	10.598
659	"British Columbia"	"95-99"	0.02717	0.0211	0.02356	0.04273	0.04353	0.04739	0.07432	0.12067	0.16549	0.24396	0	0	0	0	0	0	1.024	1.167	1.963
659	"British Columbia"	"100+"	0.00351	0.00607	0.00163	0.00529	0.00471	0.00291	0.00981	0.01317	0.01997	0.02605	0	0	0	0	0	0	0.11	0.169	0.115
660	"Manitoba"	"0-4"	37.7748	34.50822	31.68328	30.3167	34.76685	43.62547	50.1252	54.25014	55.41499	45.07786	43.448	40.185	41.447	42.629	42.448	38.239	35.924	39.191	42.07
660	"Manitoba"	"5-9"	39.50822	38.44164	34.99974	32.04166	29.68328	34.30026	43.82549	50.14193	53.62503	52.47729	43.802	41.541	40.029	41.341	42.565	42.124	39.152	38.105	41.254
660	"Manitoba"	"10-14"	37.14193	39.04166	39.10822	35.01644	30.9748	30.67507	35.03371	43.95041	50.07988	51.71977	51.486	42.689	41.57	39.95	41.595	42.584	43.333	41.311	40.686
660	"Manitoba"	"15-19"	31.10027	37.10027	37.76657	38.02492	33.21644	29.50822	29.81671	34.50029	42.78161	48.05016	50.97	50.365	43.59	42.424	40.32	41.908	43.967	44.577	44.336
660	"Manitoba"	"20-24"	25.01671	30.77535	35.80849	35.24986	34.69151	29.8915	28.85836	29.65835	32.75914	41.04469	47.734	48.973	53.596	42.909	41.256	39.758	42.816	44.188	47.497
660	"Manitoba"	"25-29"	22.7915	26.24192	28.83342	32.21671	30.96657	30.3	30.32493	29.55837	28.33168	31.74581	42.269	43.685	49.398	50.114	41.018	39.558	38.859	41.862	46.311
660	"Manitoba"	"30-34"	23.51643	23.83343	24.25835	26.79178	28.63342	28.97507	30.21671	30.2833	28.9507	27.02086	32.963	39.339	43.809	47.833	47.87	40.004	38.662	38.479	44.623
660	"Manitoba"	"35-39"	25.7	24.82493	22.66657	23.63342	24.25835	27.82521	29.41672	30.23343	29.6522	26.96145	26.962	30.807	38.705	42.638	46.492	47.475	39.769	38.814	40.387
660	"Manitoba"	"40-44"	22.79178	24.93343	23.60821	21.62493	21.81672	24.00849	27.46685	28.61671	29.61042	27.55584	26.407	25.757	30.29	37.909	41.537	45.969	47.594	39.917	40.221
660	"Manitoba"	"45-49"	18.36685	23.00028	24.28329	22.60822	20.12493	21.23342	23.76685	26.69178	27.61421	27.51243	26.236	25.048	25.183	29.386	37.004	40.572	46.464	47.766	40.965
660	"Manitoba"	"50-54"	14.17507	17.76686	21.59178	22.94165	20.90823	19.2	20.33343	22.60849	25.56091	25.52158	26.359	25.028	24.327	24.271	28.329	35.824	40.392	45.684	47.652
660	"Manitoba"	"55-59"	10.21672	12.59178	15.86686	19.59177	20.52494	18.28329	17.71672	19.17507	21.3791	23.68083	23.495	24.906	24.25	23.257	23.161	27.062	34.724	39.116	44.087
660	"Manitoba"	"60-64"	8.11671	9.47507	10.87507	14.30849	17.2167	17.51671	16.18329	16.05836	17.33833	19.37116	22.158	21.671	23.234	22.546	21.863	21.741	26.035	33.063	37.142
660	"Manitoba"	"65-69"	5.67507	7.17507	8.41672	9.89178	12.33343	14.65015	15.41671	14.48329	14.04969	15.10975	17.105	19.534	19.468	20.738	20.178	19.807	19.604	23.682	31.052
660	"Manitoba"	"70-74"	3.51671	4.77508	6.01672	6.71672	7.81671	9.89177	11.93343	12.65836	11.84503	11.31615	12.767	14.124	16.291	16.304	17.616	17.373	17.08	17.411	21.093
660	"Manitoba"	"75-79"	1.95836	2.45835	3.31671	4.1	4.60001	5.41671	7.07507	8.47508	9.21182	8.58405	8.134	9.646	10.659	12.483	12.516	13.966	14.105	13.969	14.78
660	"Manitoba"	"80-84"	0.88944	1.17875	1.58101	2.04743	2.35489	2.7195	3.41314	4.13633	5.18602	5.6855	5.19	5.18	6.347	7.061	8.386	8.726	10.072	10.265	10.426
660	"Manitoba"	"85-89"	0.29635	0.41645	0.54446	0.69185	0.86093	1.05848	1.2595	1.64214	1.93233	2.57802	2.824	2.709	2.711	3.352	3.786	4.42	4.897	5.727	6.39
660	"Manitoba"	"90-94"	0.09482	0.08954	0.13338	0.18782	0.20212	0.29042	0.33548	0.3775	0.54214	0.65333	1.165	1.36	1.293	1.31	1.611	1.77	1.62	2.003	2.535
660	"Manitoba"	"95-99"	0.01712	0.02217	0.02645	0.03526	0.04075	0.05102	0.0609	0.07692	0.08798	0.10958	0	0	0	0	0	0	0.32	0.406	0.485
660	"Manitoba"	"100+"	0.00258	0.00127	0	0.00355	0.00591	0.00983	0.01037	0.00582	0.01326	0.0048	0	0	0	0	0	0	0.044	0.061	0.038
661	"New Brunswick"	"0-4"	25.45837	24.12493	23.55837	24.29178	27.71698	36.88356	38.08328	40.2167	39.24542	31.18086	30.236	28.082	26.296	25.194	23.807	20.697	18.134	18.64	17.467
661	"New Brunswick"	"5-9"	23.45836	25.37507	24.4915	23.87506	23.85835	28.73342	35.51699	38.27507	39.18843	37.67512	32.07	30.799	28.035	26.374	25.354	23.561	20.784	18.681	19.202
661	"New Brunswick"	"10-14"	22.21671	23.51672	25.31671	24.44986	23.38328	24.53342	28.08357	34.87535	37.04105	37.79149	38.425	32.819	30.613	28.117	26.662	25.186	23.798	21.358	19.496
661	"New Brunswick"	"15-19"	19.80001	21.47507	22.6167	24.67507	23.02493	21.82493	22.69179	26.06685	31.39172	34.71547	37.723	38.11	32.1	30.818	28.221	26.757	25.293	24.284	21.852
661	"New Brunswick"	"20-24"	15.79999	17.45836	20.72521	21.65835	23.06658	19.37481	17.85836	18.51671	20.60133	27.57127	32.77	34.372	35.27	29.321	28.559	25.757	25.104	24.68	23.906
661	"New Brunswick"	"25-29"	13.94166	13.44164	15.36685	18.83341	19.23343	18.99149	17.02492	16.8	16.57876	19.14541	28.771	30.748	32.88	33.144	27.883	25.682	23.307	23.092	21.901
661	"New Brunswick"	"30-34"	11.85834	11.9	12.17506	14.9085	16.77506	17.92493	17.44165	16.98329	16.18971	16.03158	21.631	28.489	30.194	32.117	32.488	26.955	24.23	22.677	22.322
661	"New Brunswick"	"35-39"	11.70001	11.95836	11.94164	12.53343	14.07507	16.77507	17.15835	17.55836	16.62534	15.61966	17.166	21.696	28.358	30.122	31.871	32.121	26.255	24.533	22.694
661	"New Brunswick"	"40-44"	10.49999	10.75836	11.67508	11.64165	11.77507	14.47508	15.87507	16.85836	16.98814	15.79564	16.089	17.475	21.548	28.086	29.641	31.448	31.245	26.139	24.418
661	"New Brunswick"	"45-49"	9.85836	10.25835	10.44165	11.21671	10.74165	11.71671	13.49179	15.41671	15.87291	16.08283	15.715	15.86	16.781	21.064	27.425	28.977	30.416	30.804	25.917
661	"New Brunswick"	"50-54"	8.61672	8.95835	9.75835	10	10.45836	10.55834	11.05835	12.89177	14.49494	14.87415	15.76	15.236	15.26	16.606	20.546	26.939	28.454	30.32	30.554
661	"New Brunswick"	"55-59"	6.95835	7.55835	8.31671	8.89999	9.05835	9.55835	9.85835	10.45837	12.10994	13.60988	14.301	15.141	14.65	15.029	16.185	19.996	26.354	28.223	30.019
661	"New Brunswick"	"60-64"	6.49999	6.45835	6.69999	7.31671	7.75837	8.25835	8.75835	8.9	9.33789	11.07416	13.024	13.413	14.195	14.014	14.472	15.591	19.484	25.888	27.206
