"reg_code"	"name"	"age"	"1925"	"1930"	"1935"	"1940"	"1945"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"	"2015"	"2020"
658	"Alberta"	"50-54"	9.13343	12.6085	15.89178	17.35836	17.66657	18.07507	21.29178	25.84193	31.62681	35.95368	43.212	46.433	49.616	52.635	64.921	89.463	111.81	135.901	143.572	151.243
658	"Alberta"	"55-59"	6.55836	8.43343	11.36685	14.23343	15.74163	16.15835	17.77508	20.96685	25.3202	30.66737	35.406	43	46.218	48.343	52.451	64.746	89.628	110.086	135.083	160.08
658	"Alberta"	"60-64"	5.01672	6.17506	7.27507	9.95014	12.47507	14.01671	15.01671	16.89178	20.26568	24.18979	30.488	34.813	41.907	44.595	47.887	51.863	64.347	87.437	108.981	130.525
658	"Alberta"	"65-69"	3.31672	4.41671	5.31671	6.63343	8.73341	11.23343	12.97506	14.17507	16.10728	19.1096	23.492	29.68	33.822	40.607	43.662	46.762	50.898	61.782	85.48	109.178
658	"Alberta"	"70-74"	1.85836	2.81671	3.65835	4.41671	5.57506	7.83343	9.99178	11.87507	12.99381	14.44619	18.105	22.335	27.74	31.964	38.318	41.424	44.895	48.276	59.059	69.842
658	"Alberta"	"75-79"	0.95835	1.45836	2.15836	2.65835	3.25836	4.3167	5.77506	8.03343	9.74981	10.79664	12.791	16.015	19.726	24.862	28.637	34.696	38.106	40.562	44.691	48.82
658	"Alberta"	"80-84"	0.51217	0.75814	1.10778	1.51099	1.83033	2.27462	3.04167	4.292	6.123	7.527	8.289	10.181	12.853	16.043	20.222	23.771	29.468	32.271	34.699	37.127
658	"Alberta"	"85-89"	0.20652	0.25298	0.38453	0.57183	0.71731	0.93234	1.20862	1.64267	2.43	3.65	4.73	5.425	6.772	8.918	10.982	13.999	17.221	21.057	23.781	26.505
658	"Alberta"	"90-94"	0.06225	0.0832	0.08707	0.13168	0.1942	0.24842	0.35334	0.50962	0.68967	1.039	2.106	2.974	3.551	4.507	5.976	7.415	7.258	9.384	11.814	14.244
658	"Alberta"	"95-99"	0.01215	0.02268	0.02408	0.0244	0.02942	0.04549	0.05291	0.08832	0.13308	0.19954	0	0	0	0	0	0	2.003	2.47	3.363	4.256
658	"Alberta"	"100+"	0.00063	0.00077	0.00047	0.00306	0	0.00447	0.00447	0.0094	0.01626	0.02647	0	0	0	0	0	0	0.285	0.395	0.461	0.527
659	"British Columbia"	"0-4"	25.65836	25.8	23.28329	26.61699	41.42547	56.95918	71.99233	89.32548	92.58188	86.74202	88.765	92.163	102.042	109.108	117.306	107.338	99.179	106.979	108.647	110.315
659	"British Columbia"	"5-9"	25.74164	28.43343	27.84986	26.65836	32.61699	44.76711	62.2759	80.55891	91.60191	104.29154	96.75	93.978	95.915	109.675	121.279	121.332	110.322	106.28	110.987	115.694
659	"British Columbia"	"10-14"	25.05013	28.70849	31.30823	30.32492	31.59179	37.48357	47.90904	68.81753	83.46711	104.90294	116.221	101.933	98.293	102.573	122.843	127.942	126.421	118.663	111.605	104.547
659	"British Columbia"	"15-19"	22.80028	28.61699	30.24164	33.54165	35.27507	35.36658	39.25041	51.50055	70.83207	92.77379	118.369	123.246	105.871	107.416	116.806	132.978	133.668	133.427	133.792	134.157
659	"British Columbia"	"20-24"	21.0252	25.58357	31.18357	33.97507	43.73342	42.99973	39.55014	46.93344	56.50085	84.21734	115.44	131.272	130.153	116.651	124.419	129.494	143.014	150.826	153.681	156.536
659	"British Columbia"	"25-29"	20.99178	22.35835	27.37534	34.65863	42.68356	47.47506	47.45835	49.52493	51.88115	71.40286	107.245	124.862	137.204	142.557	140.288	137.132	134.467	158.757	158.46	158.163
659	"British Columbia"	"30-34"	21.41672	21.74164	23.06684	28.30027	39.41699	46.34192	51.64192	55.34986	53.17512	61.37235	85.89	115.385	130.639	148.648	164.351	151.373	140.135	146.738	164.801	182.864
659	"British Columbia"	"35-39"	21.15836	22.57507	22.54164	24.05013	30.91698	42.82547	50.55863	58.34191	58.29401	59.33011	68.783	89.067	117.761	138.886	166.204	174.53	153.769	151.38	153.521	155.662
659	"British Columbia"	"40-44"	19.70849	22.23342	23.55835	23.54164	26.35014	34.80877	45.36713	53.98357	59.75512	62.38058	65.16	72.127	91.461	125.03	153.081	174.45	177.862	162.455	156.545	150.635
659	"British Columbia"	"45-49"	17.10027	20.65014	22.65836	23.4	24.65835	28.80849	35.95042	47.74218	54.66616	63.42604	65.963	66.69	73.35	95.03	136.293	158.505	175.283	182.002	165.519	149.036
659	"British Columbia"	"50-54"	13.1252	16.80849	20.95014	23.17507	24.35836	27.37507	29.85015	37.40877	48.23236	57.11316	69.277	67.774	69.375	76.313	102.135	138.984	159.319	175.792	182.389	188.986
659	"British Columbia"	"55-59"	10.1252	12.01671	16.20027	20.39178	23.27507	25.37506	27.13343	30.40849	37.17823	50.71805	59.781	71.712	71.387	72.362	83.253	103.504	139.775	156.115	175.421	194.727
659	"British Columbia"	"60-64"	6.99178	8.81671	11.05013	15.90028	20.03344	25.15835	25.45836	27.4167	29.70767	39.37132	55.519	62.105	74.01	73.742	76.891	83.695	105.23	138.243	155.266	172.289
659	"British Columbia"	"65-69"	4.73342	6.37507	8.47507	11.30849	15.50849	20.55864	24.23342	25.55835	26.28728	31.84504	42.373	55.834	62.652	74.966	74.773	76.203	83.177	102.882	136.829	170.776
659	"British Columbia"	"70-74"	3.01671	4.21671	5.87507	7.67507	10.19179	14.5252	20.36686	23.27508	23.58854	26.2829	31.833	40.64	53.507	60.226	71.608	71.064	72.722	79.545	99.283	119.021
659	"British Columbia"	"75-79"	1.55835	2.25834	3.47507	4.61671	6.07507	8.93343	11.95014	16.36685	19.21548	21.12908	23.798	28.137	36.19	47.862	53.303	63.957	64.057	65.561	73.955	82.349
659	"British Columbia"	"80-84"	0.86919	1.18851	1.7901	2.56815	3.48141	4.5932	6.65441	9.2	12.582	15.262	16.394	18.716	22.733	29.139	38.711	43.612	52.784	52.975	56.64	60.305
659	"British Columbia"	"85-89"	0.29197	0.48703	0.61876	0.9713	1.3503	1.8127	2.4932	3.75841	5.301	7.523	9.483	11.007	12.591	15.483	19.433	25.983	30.248	37.241	39.88	42.519
659	"British Columbia"	"90-94"	0.07652	0.11228	0.19496	0.23037	0.33632	0.49387	0.6937	0.9842	1.51941	2.263	4.3	6.302	7.613	8.592	10.086	11.777	12.115	16.059	21.21	26.361
659	"British Columbia"	"95-99"	0.02415	0.02588	0.03807	0.0571	0.06112	0.09046	0.12487	0.19265	0.2646	0.38773	0	0	0	0	0	0	2.914	3.794	5.693	7.592
659	"British Columbia"	"100+"	0.00119	0.00137	0.00325	0.00788	0.00957	0.00535	0.01181	0.01773	0.03698	0.03926	0	0	0	0	0	0	0.451	0.512	0.619	0.726
660	"Manitoba"	"0-4"	36.90821	33.64986	31.13315	29.35836	33.10027	41.80055	48.28356	51.83344	53.07883	43.39616	40.916	38.076	39.317	40.696	40.704	36.321	34.065	37.897	40.327	42.757
660	"Manitoba"	"5-9"	38.0833	37.6	33.64986	31.29151	29.01671	33.02521	42.08384	48.18357	51.29246	50.25101	42.19	39.39	38.317	38.953	40.411	40.45	36.894	35.933	39.911	43.889
660	"Manitoba"	"10-14"	35.65863	37.64165	38.36657	33.60822	30.00822	29.40001	33.67535	41.76711	47.96693	49.60201	49.551	41.009	39.878	38.216	39.148	40.556	41.774	38.954	38.122	37.29
660	"Manitoba"	"15-19"	30.89206	36.80027	37.12494	37.78329	32.10822	29.50823	29.25014	32.94192	41.38309	46.58562	49.324	49.031	41.782	39.849	38.445	39.805	41.877	43.474	41.753	40.032
660	"Manitoba"	"20-24"	24.99178	30.05864	35.82521	34.5748	34.10822	31.87479	29.12493	29.15836	31.83485	40.24348	47.249	47.763	51.02	40.622	38.81	38.035	40.141	42.492	45.577	48.662
660	"Manitoba"	"25-29"	23.16659	24.37507	27.00848	32.1085	30.57508	32.25835	31.4915	28.12493	27.64941	30.68803	40.988	43.841	47.134	47.997	38.993	37.354	37.389	41.101	45.229	49.357
660	"Manitoba"	"30-34"	22.28329	21.84165	21.33343	25.20849	28.25014	29.03343	31.43342	30.16658	27.5642	26.30547	31.615	38.844	43.714	45.841	46.442	38.181	37.388	39.735	44.635	49.535
660	"Manitoba"	"35-39"	21.67506	22.45836	20.86657	21.55014	23.52521	27.15014	29.71672	31.43343	30.07914	26.25857	25.991	29.961	38.164	42.598	45.224	45.921	38.466	38.964	42.481	45.998
660	"Manitoba"	"40-44"	18.09178	20.23343	21.46657	20.46658	20.35835	22.79178	26.76685	28.61671	30.77778	28.18127	25.524	25.27	29.553	37.376	41.901	44.555	46.239	39.452	41.073	42.694
660	"Manitoba"	"45-49"	14.00848	17.55014	19.05835	20.1	19.04164	19.71671	22.60849	26.0085	27.66927	28.95328	26.475	24.735	24.842	28.74	36.759	41.191	44.322	46.091	40.451	34.811
660	"Manitoba"	"50-54"	10.69177	13.35015	16.29179	18.11672	18.42493	17.94165	19.01671	21.40849	25.19347	26.23581	28.761	25.767	24.326	24.07	27.984	36.037	40.763	43.485	45.737	47.989
660	"Manitoba"	"55-59"	8.2	9.47506	11.85012	14.99178	16.44164	16.55835	17.04164	17.93343	20.64205	24.01198	24.574	27.7	25.475	23.478	23.525	27.202	35.339	38.757	42.351	45.945
660	"Manitoba"	"60-64"	6.31671	7.51672	8.21672	10.65014	13.21672	14.21671	15	15.3167	16.89702	19.49052	23.313	23.695	26.911	24.167	22.498	22.511	26.437	33.473	37.425	41.377
660	"Manitoba"	"65-69"	4.41671	5.51672	6.55835	7.77507	9.33341	11.53343	13.17507	13.71671	14.36779	15.87286	18.81	22.027	22.68	25.179	22.729	21.267	21.408	24.948	31.98	39.012
660	"Manitoba"	"70-74"	2.71671	3.91671	4.7	5.51672	6.35835	8.13341	10.23342	11.67507	12.39979	12.81032	14.418	17.171	20.268	20.416	22.917	20.908	19.745	19.715	23.158	26.601
660	"Manitoba"	"75-79"	1.45836	2.11671	3.01671	3.55834	3.99999	4.79999	6.17508	7.77507	9.25962	10.08703	10.694	12.312	14.664	17.33	17.583	19.884	18.659	17.484	17.758	18.032
660	"Manitoba"	"80-84"	0.96008	1.0687	1.52234	1.96689	2.336	2.65354	3.26505	4.17235	5.70038	6.61299	7.177	8.151	9.796	11.363	13.708	14.032	16.29	15.18	14.428	13.676
660	"Manitoba"	"85-89"	0.32053	0.45645	0.53259	0.77426	0.9085	1.13492	1.41654	1.73405	2.33935	3.31638	4.064	4.665	5.405	6.501	7.459	9.152	9.694	11.323	10.775	10.227
660	"Manitoba"	"90-94"	0.10582	0.11796	0.18686	0.18266	0.25026	0.30396	0.38992	0.54654	0.66905	0.97835	1.867	2.48	3.052	3.574	4.359	5.071	4.476	5.076	6.202	7.328
660	"Manitoba"	"95-99"	0.02228	0.03254	0.04218	0.05791	0.05075	0.05544	0.07594	0.09787	0.12849	0.16002	0	0	0	0	0	0	1.287	1.543	1.758	1.973
660	"Manitoba"	"100+"	0.00305	0.00082	0.00689	0.0036	0.00909	0.01288	0.01134	0.00834	0.01126	0.02278	0	0	0	0	0	0	0.21	0.256	0.261	0.266
661	"New Brunswick"	"0-4"	24.99178	23.92493	23.01672	23.83342	26.61699	34.717	36.64164	37.77507	37.03972	29.7612	28.916	26.811	25.043	23.722	22.443	19.028	17.386	17.747	17.509	17.271
661	"New Brunswick"	"5-9"	22.74165	24.03343	24.0915	23.33342	23.34164	27.36685	33.95864	36.77508	37.4515	35.72175	30.264	29.369	26.505	25.249	23.81	22.211	19.313	17.677	17.841	18.005
661	"New Brunswick"	"10-14"	21.54164	22.81672	24.75836	24.20822	22.98329	23.83342	27.1252	33.55863	35.83196	36.13618	36.502	30.983	29.333	26.644	25.426	23.802	22.662	19.578	18.034	16.49
661	"New Brunswick"	"15-19"	19.40001	20.47507	21.77507	23.95836	22.58328	22.12493	23.09178	25.47507	30.43803	33.60032	35.809	36.281	30.296	29.24	26.426	25.168	23.618	23.014	19.868	16.722
661	"New Brunswick"	"20-24"	16.24165	16.65836	19.15015	19.85835	21.17508	20.44985	18.78329	18.68329	19.91117	26.27057	31.845	33.652	34.233	28.131	27.386	24.781	24.069	22.553	22.163	21.773
661	"New Brunswick"	"25-29"	14.25836	13.58329	14.6085	17.23343	17.30849	19.90822	17.84986	16.98329	16.62025	18.42075	27.029	30.747	32.079	32.601	26.843	25.358	23.267	22.148	20.545	18.942
661	"New Brunswick"	"30-34"	12.05836	11.98328	12.03343	13.89177	15.33343	17.39999	18.14164	17.38329	16.3688	16.06294	20.087	27.533	30.356	32.024	32.106	26.451	24.845	23.056	21.591	20.126
661	"New Brunswick"	"35-39"	11.04163	11.71671	11.74164	12.01672	13.03342	15.67507	17.15835	17.91671	17.03158	15.82223	16.477	20.313	27.244	30.401	31.716	31.894	26.28	25.224	23.051	20.878
661	"New Brunswick"	"40-44"	10.05836	10.29999	11.27507	11.44165	11.4167	13.03343	15.07507	16.47506	17.23124	16.15923	15.986	16.733	20.169	27.213	30.087	31.395	31.577	26.652	25.614	24.576
661	"New Brunswick"	"45-49"	9.01671	9.3	9.49999	10.61671	10.65835	11.15835	12.63342	14.47507	15.65146	16.45166	15.961	15.978	16.503	20.055	26.985	29.698	31.239	31.682	26.776	21.87
661	"New Brunswick"	"50-54"	7.55836	8.05835	8.81672	9.15834	9.85836	10.30001	10.74165	11.87506	13.72683	14.96695	16.489	15.88	15.818	16.285	19.863	26.736	29.568	31.001	31.715	32.429
661	"New Brunswick"	"55-59"	6.77507	6.84165	7.27507	8.05835	8.51671	9.15837	9.79999	10.15836	11.36984	13.274	14.649	16.26	15.82	15.613	16.226	19.642	26.617	28.82	30.903	32.986
661	"New Brunswick"	"60-64"	5.49999	5.7	5.95836	6.55835	7.15835	7.75836	8.45835	8.95834	9.54854	10.95416	13.334	14.359	15.923	15.441	15.259	15.875	19.635	25.964	28.095	30.226
661	"New Brunswick"	"65-69"	4.45836	4.9	5.10001	5.51671	5.8	6.51672	7.21672	7.85836	8.54169	9.10447	10.743	12.775	13.803	15.297	14.565	14.593	15.364	18.888	24.936	30.984
661	"New Brunswick"	"70-74"	3.2	3.55835	4.00001	4.35836	4.65835	5.21671	5.91671	6.6	7.14654	7.59867	8.416	9.86	11.721	12.609	13.956	13.479	13.602	14.427	17.615	20.803
661	"New Brunswick"	"75-79"	2.2	2.4	2.65835	3.00001	3.25835	3.55835	3.95835	4.55835	5.01201	5.77769	6.319	7.193	8.495	10.162	10.849	12.139	11.805	12.164	12.91	13.656
661	"New Brunswick"	"80-84"	1.46476	1.49159	1.64798	1.73983	2.02847	2.12428	2.36733	2.808	3.33498	3.68674	4.19	4.744	5.556	6.614	7.907	8.706	9.886	9.748	10.265	10.782
661	"New Brunswick"	"85-89"	0.58939	0.67127	0.7295	0.79432	0.85534	1.03256	1.11628	1.26433	1.507	1.91198	2.201	2.598	3.084	3.595	4.323	5.568	6.006	6.813	7.121	7.429
661	"New Brunswick"	"90-94"	0.18456	0.19653	0.22359	0.246	0.24901	0.2965	0.40956	0.42728	0.49933	0.598	1.095	1.353	1.72	2.083	2.374	2.792	2.625	3.131	3.763	4.395
661	"New Brunswick"	"95-99"	0.03547	0.03152	0.0408	0.04039	0.04975	0.06492	0.05198	0.09556	0.09926	0.11775	0	0	0	0	0	0	0.644	0.862	1.053	1.244
661	"New Brunswick"	"100+"	0.00305	0.00046	0.00247	0.00124	0.0021	0.00838	0.00782	0.00782	0.0114	0.02324	0	0	0	0	0	0	0.086	0.062	0.124	0.186
662	"Newfoundland and Labrador"	"0-4"	NA	NA	NA	NA	NA	24.67535	30.60851	32.87507	33.92325	31.45345	28.951	25.071	22.015	18.906	15.91	12.834	11.462	11.958	11.247	10.536
662	"Newfoundland and Labrador"	"5-9"	NA	NA	NA	NA	NA	20.18356	27.37534	30.87507	32.89976	33.12264	31.372	28.312	24.285	21.776	18.631	14.762	12.891	12.209	12.781	13.353
662	"Newfoundland and Labrador"	"10-14"	NA	NA	NA	NA	NA	17.43343	21.30027	27.44192	30.8229	31.82966	32.986	30.862	27.96	23.925	21.439	17.655	14.76	13.559	12.881	12.203
662	"Newfoundland and Labrador"	"15-19"	NA	NA	NA	NA	NA	16.16657	16.90849	20.62522	25.3282	28.68338	30.194	31.049	29.203	26.742	23.153	20.031	17.196	15.238	13.586	11.934
662	"Newfoundland and Labrador"	"20-24"	NA	NA	NA	NA	NA	14.84985	14.0167	14.74164	17.22487	22.01348	26.289	26.898	27.306	24.685	22.516	18.005	16.65	15.946	14.844	13.742
662	"Newfoundland and Labrador"	"25-29"	NA	NA	NA	NA	NA	12.84986	12.80001	12.78328	13.37612	16.14847	22.626	25.026	25.333	24.904	22.049	17.326	15.107	15.338	15.319	15.3
662	"Newfoundland and Labrador"	"30-34"	NA	NA	NA	NA	NA	11.6	11.8	12.15835	12.33572	12.92378	16.217	22.21	24.384	24.577	23.917	19.908	17.034	16.001	16.045	16.089
662	"Newfoundland and Labrador"	"35-39"	NA	NA	NA	NA	NA	10.09179	11.51671	11.88329	12.10025	11.94656	13.108	15.793	21.508	23.627	23.974	22.414	19.891	18.075	16.776	15.477
662	"Newfoundland and Labrador"	"40-44"	NA	NA	NA	NA	NA	8.07507	10.09177	11.05836	11.3058	11.46616	11.77	12.805	15.387	20.902	23.038	22.48	22.056	20	18.377	16.754
662	"Newfoundland and Labrador"	"45-49"	NA	NA	NA	NA	NA	7.05836	7.97506	9.69178	10.8751	10.91108	11.459	11.445	12.411	14.933	20.479	22.07	21.983	21.81	20.265	18.72
662	"Newfoundland and Labrador"	"50-54"	NA	NA	NA	NA	NA	6.40001	6.7	7.57507	9.40192	10.35727	10.451	11.16	11.049	11.944	14.526	19.704	21.35	21.645	21.744	21.843
662	"Newfoundland and Labrador"	"55-59"	NA	NA	NA	NA	NA	5.45836	6.05836	6.25836	7.14057	8.8849	9.919	10.081	10.799	10.672	11.59	14.065	19.144	20.999	21.368	21.737
662	"Newfoundland and Labrador"	"60-64"	NA	NA	NA	NA	NA	4.64165	5.05836	5.45835	5.83192	6.73456	8.925	9.595	9.587	10.244	10.391	11.141	13.855	19.12	20.769	22.418
662	"Newfoundland and Labrador"	"65-69"	NA	NA	NA	NA	NA	4.05836	4.3	4.55836	5.12267	5.45185	6.371	8.436	9.02	9.006	9.63	9.748	10.673	13.413	18.417	23.421
662	"Newfoundland and Labrador"	"70-74"	NA	NA	NA	NA	NA	3	3.55835	3.69999	4.06387	4.50651	4.948	5.712	7.598	8.082	8.168	8.703	8.821	9.991	12.362	14.733
662	"Newfoundland and Labrador"	"75-79"	NA	NA	NA	NA	NA	1.95836	2.3	2.55836	2.7596	3.17144	3.609	4.114	4.794	6.365	6.832	6.914	7.442	7.76	8.89	10.02
662	"Newfoundland and Labrador"	"80-84"	NA	NA	NA	NA	NA	1.07461	1.25465	1.36393	1.64469	1.83617	2.254	2.607	2.999	3.567	4.806	5.247	5.319	5.842	6.186	6.53
662	"Newfoundland and Labrador"	"85-89"	NA	NA	NA	NA	NA	0.44264	0.52087	0.59159	0.6814	0.88749	1.045	1.403	1.597	1.838	2.21	2.896	3.397	3.525	3.951	4.377
662	"Newfoundland and Labrador"	"90-94"	NA	NA	NA	NA	NA	0.13312	0.15012	0.18847	0.21012	0.25603	0.494	0.575	0.814	0.966	1.082	1.254	1.318	1.634	1.672	1.71
662	"Newfoundland and Labrador"	"95-99"	NA	NA	NA	NA	NA	0.022	0.02537	0.03041	0.04229	0.05357	0	0	0	0	0	0	0.318	0.391	0.506	0.621
662	"Newfoundland and Labrador"	"100+"	NA	NA	NA	NA	NA	0.00147	0	0.00247	0.00147	0.00593	0	0	0	0	0	0	0.05	0.069	0.08	0.091
663	"Northwest Territories"	"0-4"	NA	NA	NA	NA	NA	1.13467	1.29999	1.75835	2.41453	2.68608	2.752	2.835	3.211	3.661	2.076	1.69	1.694	1.601	1.586	1.571
663	"Northwest Territories"	"5-9"	NA	NA	NA	NA	NA	0.86409	1.05836	1.4	1.83094	2.38896	2.74	2.578	2.835	2.94	1.974	1.919	1.624	1.479	1.676	1.873
663	"Northwest Territories"	"10-14"	NA	NA	NA	NA	NA	0.67958	0.8	1.05835	1.34925	1.75435	2.593	2.52	2.518	2.622	1.632	1.764	1.818	1.494	1.357	1.22
663	"Northwest Territories"	"15-19"	NA	NA	NA	NA	NA	0.59675	0.75836	0.8	1.12385	1.40751	1.982	2.5	2.528	2.522	1.553	1.463	1.724	1.761	1.445	1.129
663	"Northwest Territories"	"20-24"	NA	NA	NA	NA	NA	0.6145	0.7	0.85836	0.99825	1.43095	2.158	2.374	2.942	2.879	1.67	1.494	1.645	1.733	1.806	1.879
663	"Northwest Territories"	"25-29"	NA	NA	NA	NA	NA	0.63315	0.65835	0.75834	1.01433	1.22878	2.048	2.364	2.774	3.251	2.004	1.687	1.784	1.765	1.843	1.921
663	"Northwest Territories"	"30-34"	NA	NA	NA	NA	NA	0.47883	0.5	0.65836	0.84124	1.00902	1.452	1.822	2.399	2.689	2.196	1.859	1.713	1.862	1.819	1.776
663	"Northwest Territories"	"35-39"	NA	NA	NA	NA	NA	0.39742	0.4	0.5	0.70058	0.83027	1.107	1.22	1.806	2.142	1.844	1.965	1.723	1.553	1.773	1.993
663	"Northwest Territories"	"40-44"	NA	NA	NA	NA	NA	0.391	0.3	0.4	0.55116	0.65951	0.908	0.995	1.216	1.691	1.513	1.577	1.902	1.533	1.482	1.431
663	"Northwest Territories"	"45-49"	NA	NA	NA	NA	NA	0.302	0.3	0.35836	0.44376	0.53527	0.665	0.831	0.942	1.104	1.206	1.345	1.542	1.785	1.382	0.979
663	"Northwest Territories"	"50-54"	NA	NA	NA	NA	NA	0.297	0.2	0.25835	0.35717	0.40901	0.566	0.568	0.751	0.836	0.702	1.036	1.343	1.448	1.767	2.086
663	"Northwest Territories"	"55-59"	NA	NA	NA	NA	NA	0.184	0.2	0.19999	0.25233	0.299	0.381	0.473	0.519	0.64	0.483	0.561	0.868	1.152	1.274	1.396
663	"Northwest Territories"	"60-64"	NA	NA	NA	NA	NA	0.095	0.1	0.1	0.20741	0.21109	0.274	0.292	0.389	0.417	0.357	0.371	0.489	0.698	0.93	1.162
663	"Northwest Territories"	"65-69"	NA	NA	NA	NA	NA	0.108	0.1	0.1	0.13216	0.14358	0.221	0.23	0.252	0.277	0.251	0.296	0.342	0.412	0.61	0.808
663	"Northwest Territories"	"70-74"	NA	NA	NA	NA	NA	0.086	0.1	0.1	0.08117	0.10425	0.139	0.161	0.188	0.182	0.169	0.203	0.258	0.292	0.348	0.404
663	"Northwest Territories"	"75-79"	NA	NA	NA	NA	NA	0.007	0	0.04164	0.045	0.05375	0.093	0.121	0.128	0.137	0.102	0.141	0.159	0.212	0.273	0.334
663	"Northwest Territories"	"80-84"	NA	NA	NA	NA	NA	0.015	0.025	0.02	0.037	0.023	0.045	0.066	0.081	0.084	0.081	0.068	0.123	0.123	0.161	0.199
663	"Northwest Territories"	"85-89"	NA	NA	NA	NA	NA	0.006	0.006	0.016	0.012	0.02	0.023	0.025	0.04	0.054	0.042	0.046	0.045	0.085	0.087	0.089
663	"Northwest Territories"	"90-94"	NA	NA	NA	NA	NA	0.003	0.003	0.002	0.006	0.003	0.011	0.019	0.024	0.023	0.033	0.044	0.035	0.028	0.046	0.064
663	"Northwest Territories"	"95-99"	NA	NA	NA	NA	NA	0.001	0.001	0.002	0.002	0.003	0	0	0	0	0	0	0.003	0.013	0.007	0.001
663	"Northwest Territories"	"100+"	NA	NA	NA	NA	NA	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.003	0.006
664	"Nova Scotia"	"0-4"	29.40001	27.19151	25.6167	27.05014	32.92549	39.14191	41.61671	43.97507	43.88279	35.54665	32.859	30.129	30.014	30.232	28.323	24.561	21.402	21.431	20.686	19.941
664	"Nova Scotia"	"5-9"	27.82493	28.15835	27.17479	26.30848	28.3167	31.4252	38.21699	40.87506	42.64655	42.36251	35.423	33.098	30.456	30.215	30.486	28.422	24.704	21.683	21.338	20.993
664	"Nova Scotia"	"10-14"	27.58328	27.85836	28.76657	27.42494	27.6	27.58355	31.34192	37.44193	39.85127	41.42144	43.128	35.749	33.56	30.624	30.583	30.545	28.775	24.865	21.888	18.911
664	"Nova Scotia"	"15-19"	25.64165	25.71671	26.61671	28.34164	27.4	25.9833	26.79178	29.76685	35.23954	38.22934	41.523	42.986	36.022	33.754	31.116	30.804	31.289	28.933	25.933	22.933
664	"Nova Scotia"	"20-24"	20.62494	20.49999	24.42521	26.07507	28.94165	24.79149	23.45835	23.8	25.88038	32.11899	36.852	39.818	42.327	34.96	32.67	30.582	31.163	30.71	29.723	28.736
664	"Nova Scotia"	"25-29"	17.64164	16.66659	18.48355	23.56685	26.55014	24.22492	22.66657	21.44165	21.10886	23.94951	33.172	35.984	39.538	41.046	33.471	31.198	29.042	28.295	29.043	29.791
664	"Nova Scotia"	"30-34"	15.5	15.08328	15.25013	17.95014	22.6085	23.55836	23.14165	22.08329	20.37907	20.77222	25.427	33.242	36.298	40.004	40.665	32.735	30.648	29.057	28.023	26.989
664	"Nova Scotia"	"35-39"	14.64165	14.85837	14.74165	15.23343	17.85013	20.70849	22.93343	22.84164	21.26209	20.40243	21.158	25.407	33.182	36.458	39.907	40.537	32.71	31.048	29.018	26.988
