"reg_code"	"name"	"age"	"1925"	"1930"	"1935"	"1940"	"1945"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"	"2015"	"2020"
658	"Alberta"	"0-4"	36.91645	37.79178	37.62494	36.07508	39.71699	53.26739	69.33396	84.37562	90.07092	76.44233	73.889	88.333	101.421	103.286	98.838	94.168	97.788	119.041	131.524	144.007
658	"Alberta"	"5-9"	37.05834	39.65014	38.96658	37.88327	36.05835	42.87535	57.39233	72.64245	85.57529	89.63937	79.143	84.138	89.956	99.653	103.967	103.275	100.659	104.938	127.176	149.414
658	"Alberta"	"10-14"	32.11698	37.72521	40.56658	38.46658	36.67479	37.29178	45.06713	58.90083	73.77881	86.14194	93.889	86.93	86.034	89.255	101.897	108.593	110.928	108.883	113.3	117.717
658	"Alberta"	"15-19"	25.85864	33.85042	37.34165	39.72493	36.52493	35.95836	38.66684	45.66713	60.19544	75.38835	93.638	108.731	91.867	88.888	93.531	108.338	117.673	120.777	118.07	115.363
658	"Alberta"	"20-24"	21.31671	27.85041	33.98356	35.40001	36.73315	36.4085	39.56685	43.28356	49.05967	65.92923	87.572	124.293	123.808	100.31	94.741	107.127	124.267	137.966	140.672	143.378
658	"Alberta"	"25-29"	20.60822	23.88357	27.9252	31.1085	32.40849	36.95862	41.49178	44.82521	46.1753	54.14602	77.392	107.275	130.198	125.062	103.833	108.309	121.187	153.517	167.781	182.045
658	"Alberta"	"30-34"	20.36657	21.73342	23.30849	26.15014	28.70849	34.11699	41.10027	45.29178	46.52398	47.4782	60.667	89.173	110.027	125.267	126.245	110.747	118.296	140.326	176.892	213.458
658	"Alberta"	"35-39"	20.25836	21.23343	21.55835	22.69177	24.65014	30.20028	37.10028	43.51699	46.46654	46.35225	50.099	66.172	89.978	106.848	126.481	132.024	118.766	130.95	155.9	180.85
658	"Alberta"	"40-44"	16.83342	19.53342	20.85836	20.3833	21.35835	24.90027	31.75862	37.95863	43.70516	45.35233	47.598	54.064	67.109	88.338	106.938	130.409	139.043	127.794	140.15	152.506
658	"Alberta"	"45-49"	12.89178	16.56685	18.81672	19.29999	18.90001	21.39178	26.14192	32.20027	37.47916	42.40794	45.46	49.619	53.95	65.584	88.508	109.645	134.37	143.438	132.368	121.298
