country_code	age	in	out
4	0	0.0247731908362755	0.0247497627291572
4	1	0.0225884372597798	0.0225670752829857
4	2	0.0206214500390526	0.0206019482500564
4	3	0.0188505232086181	0.0188326961923129
4	4	0.0172561143554719	0.0172397951780903
4	5	0.0158206289659558	0.0158056673329331
4	6	0.0145282262679602	0.0145144868654143
4	7	0.013364644425898	0.0133520054274227
4	8	0.0123170431594534	0.0123053948817475
4	9	0.0113738620493808	0.0113631057418788
4	10	0.0105246929667424	0.0105147397218886
4	11	0.0097601652178209	0.00975093501106056
4	12	0.00907184213726922	0.0090632933415504
4	13	0.00845212798838642	0.00844816680869446
4	14	0.00789418414315356	0.00799257278107802
4	15	0.00739185361706477	0.00831570277843987
4	16	0.0069395931471013	0.0108391844469113
4	17	0.00653244242632854	0.0164644433875863
4	18	0.00616985253488812	0.0241851338657373
4	19	0.00594171641287157	0.0318336202436785
4	20	0.00647032649354618	0.0376651700430083
4	21	0.0091809202593922	0.0410227350666781
4	22	0.0149778150472738	0.0420947431174967
4	23	0.0228555477801219	0.0414410428067737
4	24	0.0306460832709508	0.0396597400765593
4	25	0.036604525114797	0.0372396311110952
4	26	0.0400745425083677	0.0345289605618513
4	27	0.0412459474743259	0.0317543512283431
4	28	0.040680204236402	0.029052550670418
4	29	0.0389769623497349	0.0264994201140804
4	30	0.0366263607116784	0.0241318663293574
4	31	0.0339777659245227	0.0219629696190368
4	32	0.0312587286382992	0.0199918664412768
4	33	0.0286067680860738	0.0182099752840028
4	34	0.0260983955177195	0.0166048110979929
4	35	0.0237710732191482	0.015162263145409
4	36	0.021638362565859	0.0138679162202852
4	37	0.0196998211724991	0.0127077867014715
4	38	0.017947239317206	0.0116687061894008
4	39	0.0163684621778288	0.0107384963882682
4	40	0.0149496736111851	0.00990602291018384
4	41	0.0136767220225056	0.00916118099409394
4	42	0.0125358601746893	0.00849484485521115
4	43	0.0115141319428199	0.00789879942333513
4	44	0.0105995498419235	0.00736566538588127
4	45	0.00978115111488723	0.0068888237330309
4	46	0.00904898544813909	0.00646234318316017
4	47	0.00839406608303317	0.00608091219739911
4	48	0.00780830311905262	0.0057397763165911
