country_code	age	in	out
4	0-4	0.103666399598836	0.103569054984529
4	5-9	0.0671856036761589	0.0671225151855566
4	10-14	0.0456051931517283	0.045562522293462
4	15-19	0.0328393389233881	0.082769203271536
4	20-24	0.0752951978094494	0.211616528280702
4	25-29	0.207348118808745	0.159633841831308
4	30-34	0.157141221777942	0.100502083083054
4	35-39	0.0990332653536193	0.0638839319292418
4	40-44	0.0630192099839443	0.0427048472899642
4	45-49	0.0421979350227464	0.0305696491460119
4	50-54	0.0302747708729779	0.0236252799110399
4	55-59	0.0234560516773861	0.0196518927241355
4	60-64	0.0195571199481132	0.0173783567388205
4	65-69	0.017327700806485	0.016077389651643
4	70-74	0.016052872588481	0.0153329036789961
4	75-79	0	0
4	80-84	0	0
4	85-89	0	0
4	90-94	0	0
4	95-99	0	0
4	100+	0	0
8	0-4	0.103666399598836	0.103569054984529
8	5-9	0.0671856036761589	0.0671225151855566
8	10-14	0.0456051931517283	0.045562522293462
8	15-19	0.0328393389233881	0.082769203271536
8	20-24	0.0752951978094494	0.211616528280702
8	25-29	0.207348118808745	0.159633841831308
8	30-34	0.157141221777942	0.100502083083054
8	35-39	0.0990332653536193	0.0638839319292418
8	40-44	0.0630192099839443	0.0427048472899642
8	45-49	0.0421979350227464	0.0305696491460119
8	50-54	0.0302747708729779	0.0236252799110399
8	55-59	0.0234560516773861	0.0196518927241355
8	60-64	0.0195571199481132	0.0173783567388205
8	65-69	0.017327700806485	0.016077389651643
8	70-74	0.016052872588481	0.0153329036789961
8	75-79	0	0
8	80-84	0	0
8	85-89	0	0
8	90-94	0	0
8	95-99	0	0
8	100+	0	0
12	0-4	0.103666399598836	0.103569054984529
12	5-9	0.0671856036761589	0.0671225151855566
12	10-14	0.0456051931517283	0.045562522293462
12	15-19	0.0328393389233881	0.082769203271536
12	20-24	0.0752951978094494	0.211616528280702
12	25-29	0.207348118808745	0.159633841831308
12	30-34	0.157141221777942	0.100502083083054
12	35-39	0.0990332653536193	0.0638839319292418
12	40-44	0.0630192099839443	0.0427048472899642
12	45-49	0.0421979350227464	0.0305696491460119
12	50-54	0.0302747708729779	0.0236252799110399
12	55-59	0.0234560516773861	0.0196518927241355
12	60-64	0.0195571199481132	0.0173783567388205
12	65-69	0.017327700806485	0.016077389651643
12	70-74	0.016052872588481	0.0153329036789961
12	75-79	0	0
12	80-84	0	0
12	85-89	0	0
12	90-94	0	0
12	95-99	0	0
12	100+	0	0
16	0-4	0.103666399598836	0.103569054984529
16	5-9	0.0671856036761589	0.0671225151855566
16	10-14	0.0456051931517283	0.045562522293462
16	15-19	0.0328393389233881	0.082769203271536
16	20-24	0.0752951978094494	0.211616528280702
16	25-29	0.207348118808745	0.159633841831308
16	30-34	0.157141221777942	0.100502083083054
16	35-39	0.0990332653536193	0.0638839319292418
16	40-44	0.0630192099839443	0.0427048472899642
