country_code,MigFDMb0,MigFDMb1,MigFDMsrin,MigFDMsrout,MigFDMmin
4,0.001,0.5,0.481377431623572,0.488079186177756,1e-04
8,0.001,0.5,0.493588976740048,0.503725859274246,1e-04
12,0.001,0.5,0.480000882867928,0.491916926122872,1e-04
16,0.001,0.5,0.496204674530363,0.490439736909858,1e-04
20,0.001,0.5,0.478641935015073,0.501241813477712,1e-04
24,0.001,0.5,0.495816214450671,0.497902902507649,1e-04
28,0.001,0.5,0.517577357139078,0.518507877709955,1e-04
31,0.007,0.5,0.486441456525287,0.490122235007189,7e-04
36,0.007,0.5,0.50198276037174,0.492555130748284,7e-04
40,0.007,0.5,0.502495552912428,0.507220513646977,7e-04
44,0.007,0.5,0.520831455465561,0.50835428854311,7e-04
48,0.05,0.5,0.37387923645186,0.416521702874038,0.005
50,0.001,0.5,0.399306021872179,0.41273597170541,1e-04
51,0.001,0.5,0.508203091011666,0.477094157956182,1e-04
52,0.001,0.5,0.521301237916203,0.519532020528801,1e-04
56,0.007,0.5,0.497957977040365,0.50628620778532,7e-04
60,0.001,0.5,0.502292115632292,0.494882450914449,1e-04
64,0.007,0.5,0.395214474374168,0.414015505265822,7e-04
70,0.001,0.5,0.506339995585145,0.516456133910113,1e-04
72,0.001,0.5,0.439220188694384,0.433117933793261,1e-04
84,0.007,0.5,0.493887942179306,0.522019840985358,7e-04
90,5e-04,0.5,0.457749280330975,0.491395806139105,5e-05
92,0.007,0.5,0.510013709989957,0.496493978366457,7e-04
96,0.007,0.5,0.450552738169653,0.456230082258505,7e-04
100,0.001,0.5,0.513862425649085,0.525709256733657,1e-04
104,0.001,0.5,0.445839935092964,0.478246471900961,1e-04
108,0.001,0.5,0.496907954652678,0.500626761571575,1e-04
112,0.001,0.5,0.532613033579622,0.521341792982075,1e-04
116,0.001,0.5,0.519415040623235,0.488059603386109,1e-04
120,0.001,0.5,0.503238347269056,0.506604851236457,1e-04
124,0.007,0.5,0.504374995098376,0.516034462427582,7e-04
132,0.001,0.5,0.519188664538454,0.515032879895284,1e-04
136,0.007,0.5,0.484764820061819,0.501019084417654,7e-04
140,0.001,0.5,0.49688818122549,0.499784955459773,1e-04
144,0.001,0.5,0.461656493592673,0.490344942630278,1e-04
148,0.007,0.5,0.50487165851889,0.51112548788597,7e-04
156,0.001,0.5,0.510798328333299,0.521794626202017,1e-04
158,0.007,0.5,0.5,0.5,7e-04
174,0.001,0.5,0.503920579251915,0.534645470151564,1e-04
175,5e-04,0.5,0.577906205839428,0.497330278972854,5e-05
178,0.001,0.5,0.491639200691988,0.496169943585757,1e-04
180,0.001,0.5,0.503713070492767,0.509981939361534,1e-04
