country_code	country	Initials	isSmall	ProjFirstYear	MigCode	WPPAIDS	AgeMortalityType	AgeMortalityPattern	AgeMortProjMethod1	AgeMortProjMethod2	AgeMortProjPattern	AgeMortProjMethodWeights	AgeMortProjAdjSR	LatestAgeMortalityPattern	SmoothLatestAgeMortalityPattern	PasfrNorm	PasfrGlobalNorm	PasfrFarEastAsianNorm	PasfrSouthAsianNorm	MigAgeSchedule	MigAgeZeroNeg	MigAgeEqualMFratio
174	Comoros	VG	0	1950	0	0	Age specific mortality pattern	CD_West	MLT		CD_West		0	0	0	Global Norm	0	0	0	0	0	0
178	Congo	TS	0	1950	0	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
184	Cook Islands	PG	1	1950	0	0	Age specific mortality pattern	UN_Far_Eastern	MLT		UN_Far_Eastern		0	0	0	Global Norm	0	0	0	0	0	0
188	Costa Rica	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
384	Cote d'Ivoire	TS	0	1950	9	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
191	Croatia	KA	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.9)"	3	0	0	Global Norm	0	0	0	0	0	0
192	Cuba	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	0	0	0
531	Curacao	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	388	0	1
196	Cyprus	DG	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	0	0	0
203	Czechia	MW	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.9)"	0	0	0	Global Norm	1	0	0	0	0	0
408	Dem. People's Republic of Korea	TS	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_North	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
180	Democratic Republic of the Congo	VG	0	1950	0	0	Age specific mortality pattern	CD_North	MLT		CD_North		0	0	0	Global Norm	0	0	0	0	0	0
208	Denmark	NL	0	1950	9	0	Age specific mortality pattern	CD_West	LC				0	1	0	Global Norm	1	0	0	0	0	0
262	Djibouti	VG	0	1950	9	0	Age specific mortality pattern	CD_North	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
212	Dominica	PG	1	1950	0	0	Age specific mortality pattern	UN_Far_Eastern	MLT		UN_Far_Eastern		0	0	0	Global Norm	0	0	0	0	0	0
214	Dominican Republic	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
218	Ecuador	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
818	Egypt	TS	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
222	El Salvador	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.5)"	3	0	0	Global Norm	0	0	0	0	0	0
226	Equatorial Guinea	DG	0	1950	9	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
232	Eritrea	TS	0	1950	9	0	Age specific mortality pattern	CD_North	PMD	MLT	CD_North	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	0	0	0
233	Estonia	KA	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.9)"	0	0	0	Global Norm	1	0	0	0	0	0
748	Eswatini	PG	0	1950	0	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_West	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
231	Ethiopia	TS	0	1950	9	0	Age specific mortality pattern	CD_North	PMD	MLT	CD_North	"c(1,0.75)"	0	0	0	Global Norm	0	0	0	0	0	0
234	Faeroe Islands	PG	1	1950	9	0	Age specific mortality pattern	CD_North	MLT		CD_West		0	0	0	Global Norm	0	0	0	0	0	0
238	Falkland Islands (Malvinas)	PG	1	1950	0	0	Age specific mortality pattern	CD_West	MLT		CD_West		0	0	0	Global Norm	0	0	0	0	0	0
242	Fiji	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_North	"c(1,0.75)"	0	0	0	Global Norm	0	0	0	0	0	0
246	Finland	NL	0	1950	9	0	Age specific mortality pattern	Life_Tables	LC				0	1	0	Global Norm	1	0	0	0	0	0
250	France	PG	0	1950	0	0	Age specific mortality pattern	CD_West	LC				0	1	0	Global Norm	1	0	0	0	0	0
254	French Guiana	LB	0	1950	0	0	Age specific mortality pattern	CD_West	MLT		CD_West		0	0	0	Global Norm	0	0	0	0	0	0
258	French Polynesia	LB	0	1950	9	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.75)"	3	0	0	Global Norm	0	0	0	0	0	0
266	Gabon	TS	0	1950	0	1	Age specific mortality pattern	HIVmortmod	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
270	Gambia	TS	0	1950	0	0	Age specific mortality pattern	CD_South	PMD	MLT	CD_North	"c(1,0.5)"	0	0	0	Global Norm	0	0	0	0	0	0
268	Georgia	KA	0	1950	0	0	Age specific mortality pattern	Life_Tables	PMD	MLT	CD_West	"c(1,0.9)"	3	0	0	Global Norm	0	0	0	0	0	0
