"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"
4	"Afghanistan"	-0.00257994008863126	-0.00241837266735864	-0.0022235086455019	-0.00201301251550271	-0.00179838373858262	-0.0888073659015204	-0.258738354386344	-0.12761147459034	0.184583474552043	-0.0226247430171801	0.0408142548398787	-0.0277663296659485	0.0169159394321056
8	"Albania"	-7.83741868678113e-05	-6.97198319118234e-05	-6.05114501110599e-05	-5.22117476432197e-05	-4.60336222136871e-05	-4.10579003487433e-05	-3.6923145777428e-05	-3.33692980212006e-05	-0.135065777263913	-0.0578119673856119	-0.0561844863731656	-0.0820609622045752	-0.0316174015285937
12	"Algeria"	-0.0349874163782861	-0.0195176524410621	-0.0255522480577789	-0.00960920659164567	-0.0170324012323546	-0.0134557233430554	-0.00418973836785231	-0.00413464417208472	-0.00496593054960173	-0.00568818480295319	-0.00658126766269692	-0.0107412893400774	-0.00397567343400832
24	"Angola"	0	-0.0155984238310489	-0.0256124066658015	-0.0348917827763106	-0.0128477064400729	0.00161157474799974	0.0285135686408222	-0.0154212187752977	0.0128335431668415	-0.00971427160674052	0.0114615279283558	0.00476130609924378	0.00482187661669766
28	"Antigua and Barbuda"	0.00403878965897065	-0.084830168595921	-0.0311442731478941	-0.0272408764018574	-0.0439657941837874	-0.0504238083548727	-0.125745010739534	-0.116041007544415	0.0422737699092172	0.064682731276244	-0.00363177416031321	-0.00111427360261612	-0.000641958891703828
31	"Azerbaijan"	0.00343025217222255	0.01753115409199	0.0170423016150537	0.0110193571321111	0.0028233967277952	-0.00493905998739681	-0.00662265837550028	-0.017793691350768	-0.0146293848973665	-0.0154147459092403	0.00131255711255667	-0.0113036904275616	-0.00177199885756899
32	"Argentina"	0.0180753903640949	0.00739602786149551	0.00591689976393219	0.00583398692182773	0.0120969111079761	-0.00882346340532417	0.00498112690902608	0.00526516677322463	0.000916567012142474	-0.00228605275215319	-0.00242866124663236	-0.00217133564629449	0.000727751278871258
36	"Australia"	0.0535986990396882	0.0431128392336595	0.0372111149197733	0.0750159372646631	0.0204675639066515	0.0169689434877692	0.031018288080837	0.0421905633465756	0.020534637073022	0.0208307195070613	0.0300987305813903	0.05586821767597	0.0461631243219795
40	"Austria"	-0.0112448091205221	-0.00748285987358482	0.00226395066184042	0.0069053873831759	0.0109192774296228	0.000721276935472326	0.00236953568446767	0.0146041438776377	0.0295645105975148	0.00816297042719947	0.022123905896545	0.0186722102554774	0.0175273171332745
44	"Bahamas"	-0.00287022051385798	0.0957243931888195	0.131083030513303	0.100536240887118	0.0052374878953211	0.0147764212577165	0.000854457419538593	-0.00468289274087709	-0.0015409342352675	-0.0110547526155538	0.0519753869704019	0.043624313956561	0.0268048665576587
48	"Bahrain"	0.0273582784091892	0.0591456981885928	-0.0267136817619584	-0.0384258171958067	0.0897363703766272	0.183594189421267	0.00887741663008263	0.0307540084639685	0.0110496346361686	0.0764302059496568	0.200193445351688	0.365096757376467	0.0237172356874034
50	"Bangladesh"	-0.00145392440310883	3.52308526547694e-05	-0.00295385739402717	-0.00289821692550661	-0.0465536429390035	-0.0154601545973353	-0.0102910032543069	-0.00235835694005308	-0.00805521550145487	-0.00638465971933204	-0.0129493710421603	-0.0249839398633089	-0.0146849250066831
51	"Armenia"	0.0368398810201063	0.050686661021242	0.0376647481305519	0.0469004150318645	0.0343089761468356	0.0126427547643905	-0.00721216110335633	-0.017463442010789	-0.140008660829775	-0.0694573328828456	-0.0468014998221773	-0.0451120213259602	-0.0033325504741697
52	"Barbados"	-0.0323372591767577	-0.0762079656150364	-0.0688638312245057	-0.0504730789002987	-0.0227467793189783	-0.0146118610105148	-0.0221612469617006	-0.0159301993912374	-0.0125319732384954	-0.00499316883175701	-0.000285356399024599	0.00748139686803181	0.00779780087707375
56	"Belgium"	0.00685832710686657	0.0049431888381556	0.00786723968753347	0.0091276963318563	0.00406391758551041	0.00719039378213095	0.0013657006414633	0.00452761960151813	0.0115642626791636	0.00661066409339815	0.0241089636339909	0.0252999686785017	0.024702519986774
64	"Bhutan"	0.0565626855963121	0.024988879948423	0.0223106716404591	0.0395837374173195	0.068620757092813	0.0429619700640993	0.00193183553462397	0.00340078036715635	-0.160385057095639	0.000280999887993052	0.0619936297716892	0.0258445274071162	0.0138841451392996
68	"Bolivia (Plurinational State of)"	-0.0103561925642686	-0.00891493725936846	-0.00920629514240205	-0.0090898370997816	-0.0095428665530051	-0.0119792168861702	-0.0155650557860244	-0.0172256549855761	-0.0132721317175609	-0.0109693557945085	-0.010791398825255	-0.00920539965075523	-0.00623033611289094
70	"Bosnia and Herzegovina"	-0.0187886114005485	-0.017054766463075	-0.0155550439879049	-0.0283717623239656	-0.0200230294606765	-0.0188837871209847	-0.00723787290161038	-0.0129016252788917	-0.165313598686635	-0.0412499439328659	0.00918036382926105	0.000959206464691576	-0.000653411061263675
72	"Botswana"	-0.0121105463078105	-0.0425787412891151	-0.028624370025323	-0.0101000266894506	0.00335487669204829	0.0180601900906172	0.000603213189191142	0.0049064113033437	0.0129459477871655	0.0155726322106768	0.0122522499696242	0.0100477306098756	0.00976691924284767
76	"Brazil"	0.00611419500304643	0	0	0	0	0	0	0	0	0	0	0	8.01755330615623e-05
