"index"	"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
2113	"Indonesia"	360	"  0"	0.236941343	0.197949018	0.16538855	0.140521618	0.117424497	0.098142585	0.082002386	0.068526136	0.057258216	0.047847364	0.039989036	0.033417933	0.029218886	0.026224034	0.023856172	0.022077923	0.020615241	0.01939368	0.018246707	0.017246099	0.016360298	0.015506598	0.014756734	0.014069314	0.013403162	0.012788908	0.012205953	0.011674634	0.011153999	0.010674607
2114	"Indonesia"	360	"  1"	0.03654702	0.027613005	0.020848123	0.018610743	0.014226018	0.010858235	0.008299916	0.00634433	0.004848124	0.00370274	0.002827614	0.002158712	0.001891127	0.001692925	0.001542643	0.001426399	0.001333122	0.001249939	0.001179108	0.001111435	0.001056297	0.001002066	0.000949568	0.000908931	0.000868629	0.000824109	0.000785266	0.000752606	0.000720247	0.000683137
2115	"Indonesia"	360	"  5"	0.007995537	0.006399925	0.005134993	0.004423101	0.003566867	0.002884164	0.002319522	0.001866652	0.001501728	0.001211192	0.000976995	0.000789467	0.000685046	0.000613414	0.000553351	0.000512956	0.000474834	0.00044862	0.000419566	0.000397445	0.000375689	0.000354219	0.000337647	0.000320703	0.000302495	0.00029102	0.000277924	0.000263926	0.000251863	0.000241607
2116	"Indonesia"	360	" 10"	0.003755184	0.003228411	0.002754084	0.00221325	0.001906145	0.001641376	0.001413502	0.001212892	0.001038921	0.000888127	0.000756453	0.000644467	0.000557988	0.000494513	0.00044544	0.000409893	0.00038003	0.000354825	0.000332636	0.000312626	0.000295264	0.000277589	0.000262559	0.00025006	0.000236757	0.000223818	0.000213146	0.000203334	0.000193363	0.000183208
2117	"Indonesia"	360	" 15"	0.006625198	0.005611488	0.004749179	0.003825293	0.003333543	0.002909908	0.00254042	0.002215558	0.001937919	0.001693744	0.001477949	0.001291955	0.001110037	0.000981713	0.000882581	0.000808258	0.000748364	0.000698347	0.000652353	0.000612395	0.000576091	0.000542346	0.000512252	0.000485737	0.000459691	0.000434125	0.000412295	0.000392287	0.000372289	0.00035348
2118	"Indonesia"	360	" 20"	0.009054119	0.007711199	0.006557687	0.005366261	0.004705345	0.004132035	0.003627778	0.003179784	0.002794605	0.002453365	0.002151776	0.0018888	0.001621617	0.00143365	0.001288266	0.001179826	0.001091031	0.001018033	0.000949896	0.000891159	0.00083981	0.000789294	0.000746166	0.000706158	0.000669264	0.000632409	0.000599587	0.000570918	0.000542262	0.000514434
2119	"Indonesia"	360	" 25"	0.010369887	0.008839152	0.007523317	0.006257274	0.005448679	0.004750913	0.004141333	0.003606599	0.003146785	0.002744344	0.00238963	0.002082473	0.00178993	0.001582255	0.001420546	0.001302163	0.001204602	0.001122968	0.001048397	0.000983706	0.000927239	0.000871436	0.000823657	0.000778934	0.000738441	0.000699065	0.000662086	0.000630658	0.000599044	0.000569253
2120	"Indonesia"	360	" 30"	0.01125151	0.009729286	0.008402874	0.007111338	0.00620357	0.005417681	0.004730484	0.004127421	0.003607735	0.003150666	0.002746777	0.002398618	0.002061562	0.001822999	0.001637003	0.001500494	0.001388196	0.001293383	0.001207656	0.001133673	0.001067238	0.001004025	0.00094969	0.000897918	0.000849981	0.000804432	0.00076396	0.000725777	0.000688972	0.000656352
2121	"Indonesia"	360	" 35"	0.012698251	0.011268509	0.009987945	0.008658559	0.007634677	0.00673761	0.005948529	0.005244046	0.004633932	0.004088872	0.003604192	0.003180773	0.002733348	0.002415646	0.002171558	0.001988796	0.001840487	0.001715467	0.001601445	0.001503267	0.001415529	0.001331849	0.001258935	0.001190247	0.001128367	0.00106646	0.001012357	0.000963126	0.000913555	0.000868984
2122	"Indonesia"	360	" 40"	0.01453323	0.013284453	0.01212905	0.010830275	0.009722699	0.008738074	0.00785527	0.00705096	0.006345972	0.005705606	0.005121632	0.004604455	0.003955065	0.003497061	0.003142267	0.002877136	0.002662654	0.002483651	0.002318284	0.002174596	0.002048697	0.001927752	0.001821307	0.001722709	0.001632278	0.001544834	0.00146514	0.001393365	0.001322441	0.001257568
